City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Pindiga,NG,21.09,broken clouds,9.98,10.93,Accommodation Center
1,Surt,LY,22.69,clear sky,31.21,16.59,الهادي ابوشعاله سرت
5,Vaini,TO,23.09,broken clouds,-21.2,-175.2,Keleti Beach Resort
6,Mahebourg,MU,22.16,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
7,Carnarvon,AU,21.04,scattered clouds,-24.87,113.63,Hospitality Carnarvon
9,Kamarion,GR,21.53,clear sky,36.8,25.82,Minoa Hotel Amorgos
11,Atuona,PF,25.42,light rain,-9.8,-139.03,Villa Enata
12,Auriflama,BR,26.49,scattered clouds,-20.69,-50.55,Capoia´s Hotel
20,Bambous virieux,MU,22.14,broken clouds,-20.34,57.76,Casa Tia Villa
23,Pandaria,IN,23.89,overcast clouds,22.23,81.42,"SC,ST Hostel,Samrupara"
26,Hithadhoo,MV,27.23,overcast clouds,-0.6,73.08,Scoop Guest House
27,Progreso,MX,26.81,few clouds,21.28,-89.67,Playa Linda Hotel
33,Rikitea,PF,23.27,overcast clouds,-23.12,-134.97,People ThankYou
40,Gibara,CU,27.62,overcast clouds,21.11,-76.13,Sol y Mar
44,Port hedland,AU,25.03,clear sky,-20.32,118.57,The Esplanade Hotel
47,Puerto ayora,EC,23.98,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
48,Kuah,MY,26.99,few clouds,6.33,99.84,Azio Hotel
53,Ribeira grande,PT,21.99,overcast clouds,38.52,-28.7,Quinta da Meia Eira
56,Bijie,CN,20.24,scattered clouds,27.31,105.29,Four Points by Sheraton Bijie
59,Kanniyakumari,IN,26.42,overcast clouds,8.08,77.57,Sparsa
60,Mutsu,JP,21.11,overcast clouds,41.29,141.22,Mutsu Park Hotel
64,Mae sai,TH,23.02,overcast clouds,20.43,99.88,Piyaporn Hill Paradise Hotel
69,Gizo,SB,28.95,light rain,-8.1,156.84,Imagination Island
75,Horqueta,PY,23.41,clear sky,-23.34,-57.06,Hospedaje Heina
78,Chimore,BO,29.06,overcast clouds,-16.98,-65.13,Bichito
81,Avarua,CK,23.03,light rain,-21.21,-159.78,Paradise Inn
82,Kutum,SD,23.99,overcast clouds,14.2,24.67,Dibbo areaمنطقة دبو
