City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Pindiga,NG,9.98,10.93,21.09,89,82,2.75,broken clouds
Surt,LY,31.21,16.59,22.69,67,0,3.81,clear sky
Hobart,AU,-42.88,147.33,12.25,59,20,1.79,few clouds
Ushuaia,AR,-54.80,-68.30,6.81,61,75,9.77,broken clouds
Yellowknife,CA,62.46,-114.35,7.45,77,75,1.79,broken clouds
Vaini,TO,-21.20,-175.20,23.09,94,75,5.14,broken clouds
Mahebourg,MU,-20.41,57.70,22.16,83,75,5.14,broken clouds
Carnarvon,AU,-24.87,113.63,21.04,64,40,5.66,scattered clouds
Sitka,US,57.05,-135.33,10.94,71,90,2.57,overcast clouds
Kamarion,GR,36.80,25.82,21.53,76,0,8.6,clear sky
Mataura,PF,-46.19,168.86,6.93,84,38,3.24,scattered clouds
Atuona,PF,-9.80,-139.03,25.42,77,23,8.65,light rain
Auriflama,BR,-20.69,-50.55,26.49,30,31,2.65,scattered clouds
Illoqqortoormiut,GL,nan,nan,,,,,
Namwala,ZM,-15.75,26.44,19.55,39,0,1.51,clear sky
Taolanaro,MG,nan,nan,,,,,
Mount gambier,AU,-37.83,140.77,9.95,62,75,5.14,broken clouds
Klaksvik,FO,62.23,-6.59,11.51,94,100,12.99,overcast clouds
East london,ZA,-33.02,27.91,18.52,49,48,5.37,scattered clouds
Upernavik,GL,72.79,-56.15,-6.91,69,0,2.66,clear sky
Bambous virieux,MU,-20.34,57.76,22.14,83,75,5.14,broken clouds
Belushya guba,RU,nan,nan,,,,,
Hofn,IS,64.25,-15.21,4.27,88,100,7.1,light rain
Pandaria,IN,22.23,81.42,23.89,87,94,1.38,overcast clouds
Cape town,ZA,-33.93,18.42,15.71,87,20,3.6,few clouds
Castro,CL,-24.79,-50.01,15.52,86,0,2.02,clear sky
Hithadhoo,MV,-0.60,73.08,27.23,77,100,6.97,overcast clouds
Progreso,MX,21.28,-89.67,26.81,83,20,4.69,few clouds
Bluff,NZ,-46.60,168.33,7.11,57,72,6.62,broken clouds
Port elizabeth,ZA,-33.92,25.57,17.16,67,0,4.63,clear sky
Kokkola,FI,63.84,23.13,8.85,94,31,1.54,mist
Qaanaaq,GL,77.48,-69.36,-6.16,70,97,2.96,overcast clouds
Toora-khem,RU,52.47,96.11,-0.33,64,100,1.01,overcast clouds
Rikitea,PF,-23.12,-134.97,23.27,76,90,6.63,overcast clouds
Chimbote,PE,-9.09,-78.58,16.96,88,74,4.35,broken clouds
Nikolskoye,RU,59.70,30.79,8.94,93,99,3.81,overcast clouds
Barrow,US,71.29,-156.79,-2.99,93,90,2.06,overcast clouds
Hermanus,ZA,-34.42,19.23,15.5,90,65,2.89,broken clouds
Chokurdakh,RU,70.63,147.92,0.65,98,100,5.42,light snow
Busselton,AU,-33.65,115.33,14.47,79,52,0.53,broken clouds
Gibara,CU,21.11,-76.13,27.62,79,85,3.69,overcast clouds
Bethel,US,41.37,-73.41,18.32,89,1,0,clear sky
Verkhnyaya maksakovka,RU,61.63,50.97,8.01,93,0,2,clear sky
Marathon,US,44.90,-89.77,13.74,67,90,2.57,overcast clouds
Port hedland,AU,-20.32,118.57,25.03,47,0,3.09,clear sky
Hauterive,CA,46.09,3.45,16.88,98,100,1.91,heavy intensity rain
Tiksi,RU,71.69,128.87,0.55,86,100,9.15,overcast clouds
Puerto ayora,EC,-0.74,-90.35,23.98,90,92,3.77,overcast clouds
Kuah,MY,6.33,99.84,26.99,89,20,0,few clouds
Punta arenas,CL,-53.15,-70.92,3.06,75,40,6.17,scattered clouds
