City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,North Bend,US,2021-09-21 05:07:16,43.4065,-124.2243,57.11,88,1,4.61
1,Rikitea,PF,2021-09-21 05:07:16,-23.1203,-134.9692,74.1,74,5,12.71
2,Jamestown,US,2021-09-21 05:06:20,42.097,-79.2353,69.39,77,1,11.5
3,Sheboygan,US,2021-09-21 05:07:17,43.7333,-87.9334,73.22,89,90,11.5
4,San Jose,US,2021-09-21 05:06:12,37.3394,-121.895,73.27,38,40,0.0
5,Mahebourg,MU,2021-09-21 05:07:18,-20.4081,57.7,70.34,61,46,14.56
6,Dikson,RU,2021-09-21 05:07:18,73.5069,80.5464,34.86,77,75,9.53
7,Taoudenni,ML,2021-09-21 05:07:19,22.6783,-3.9836,89.46,11,0,8.32
8,Ostrovnoy,RU,2021-09-21 05:05:18,68.0531,39.5131,37.35,85,92,11.63
9,Havelock,US,2021-09-21 05:05:25,34.8791,-76.9013,75.15,86,99,6.2
10,Tombouctou,ML,2021-09-21 05:07:20,20.0,-3.0,88.41,14,0,3.4
11,Hilo,US,2021-09-21 05:07:20,19.7297,-155.09,74.93,83,75,3.44
12,Ascension,US,2021-09-21 05:07:21,30.2169,-90.9001,80.6,94,1,0.0
13,Albany,US,2021-09-21 05:06:48,42.6001,-73.9662,60.75,91,99,5.82
14,Cape Town,ZA,2021-09-21 05:07:21,-33.9258,18.4232,53.4,64,85,7.65
15,Moranbah,AU,2021-09-21 05:07:22,-22.0016,148.0466,83.23,12,40,17.09
16,Kangasala,FI,2021-09-21 05:07:22,61.4638,24.076,37.67,91,65,4.94
17,Thoen,TH,2021-09-21 05:07:23,17.6129,99.2161,83.75,81,98,1.88
18,Punta Arenas,CL,2021-09-21 05:07:24,-53.15,-70.9167,51.91,71,40,20.71
19,Castro,BR,2021-09-21 05:07:24,-24.7911,-50.0119,68.76,52,6,1.61
20,Muros,ES,2021-09-21 05:07:25,42.7762,-9.0603,57.7,78,1,9.84
21,Tuatapere,NZ,2021-09-21 05:07:26,-46.1333,167.6833,51.13,71,54,6.31
22,Clyde River,CA,2021-09-21 05:07:26,70.4692,-68.5914,28.35,72,86,5.41
23,Qaqortoq,GL,2021-09-21 05:07:27,60.7167,-46.0333,32.5,57,0,7.45
24,Catamarca,AR,2021-09-21 05:07:27,-28.4696,-65.7852,59.56,74,99,9.46
25,Sept-Iles,CA,2021-09-21 05:07:28,50.2001,-66.3821,49.1,87,10,3.09
26,Kahului,US,2021-09-21 05:07:28,20.8947,-156.47,78.82,61,20,13.8
27,Camacupa,AO,2021-09-21 05:07:29,-12.0167,17.4833,67.89,48,34,3.13
28,Kodiak,US,2021-09-21 05:07:29,57.79,-152.4072,43.63,55,6,25.12
29,Hithadhoo,MV,2021-09-21 05:07:30,-0.6,73.0833,83.44,74,100,11.88
30,Camana,PE,2021-09-21 05:07:30,-16.6228,-72.7111,60.57,86,100,6.02
31,Namibe,AO,2021-09-21 05:07:31,-15.1961,12.1522,60.48,86,6,2.93
32,Lompoc,US,2021-09-21 05:04:25,34.6391,-120.4579,64.71,77,1,6.91
33,Vila Franca Do Campo,PT,2021-09-21 05:07:32,37.7167,-25.4333,70.21,80,77,7.65
34,Puerto Ayora,EC,2021-09-21 05:07:32,-0.7393,-90.3518,67.66,84,39,8.1
35,Broome,US,2021-09-21 05:07:33,42.2506,-75.833,61.57,88,1,10.36
36,Vaini,TO,2021-09-21 05:03:20,-21.2,-175.2,71.76,88,40,9.22
37,Ushuaia,AR,2021-09-21 05:07:33,-54.8,-68.3,47.86,71,75,4.61
38,Hudson Bay,CA,2021-09-21 05:07:34,52.85,-102.3842,48.94,59,65,5.32
